dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNet,16,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2998441457748413,0.0377,0.04993873415340408,0.03894,0.37742,0.62258,0.0,
ImageNet,16,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.27576667070388794,0.0377,0.04993873415340408,0.03464,0.3732,0.6268,0.0,
ImageNet,16,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2864728569984436,0.0364,0.049981015157406196,0.03724,0.37304,0.62696,0.0,A
ImageNet,17,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0374,0.049638734153404085,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,17,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.28513485193252563,0.0377,0.04993873415340408,0.03704,0.37262,0.62738,0.0,
ImageNet,17,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2838504910469055,0.0377,0.04993873415340408,0.03588,0.37622,0.62378,0.0,
ImageNet,17,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2748328447341919,0.0364,0.049981015157406196,0.03456,0.37296,0.62704,0.0,B
ImageNet,18,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0372,0.04943873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,18,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.304662823677063,0.0377,0.04993873415340408,0.03942,0.37866,0.62134,0.0,
ImageNet,18,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2697659134864807,0.0377,0.04993873415340408,0.03418,0.3715,0.6285000000000001,0.0,
ImageNet,18,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2942572832107544,0.0364,0.049981015157406196,0.03832,0.37558,0.62442,0.0,A
ImageNet,19,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0367,0.048938734153404086,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,19,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.29015129804611206,0.0377,0.04993873415340408,0.03778,0.37426,0.62574,0.0,
ImageNet,19,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2975635528564453,0.0377,0.04993873415340408,0.03756,0.38022,0.61978,0.0,
ImageNet,19,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2878522276878357,0.0363,0.04988101515740619,0.0364,0.3774,0.6226,0.0,B
ImageNet,20,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0371,0.04933873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,20,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2728489637374878,0.0377,0.04993873415340408,0.03572,0.36906,0.6309400000000001,0.0,
ImageNet,20,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.34274381399154663,0.0377,0.04993873415340408,0.04268,0.3934,0.6066,0.0,
ImageNet,20,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.3220151662826538,0.0364,0.049981015157406196,0.04054,0.3877,0.6123000000000001,0.0,B
ImageNet,21,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.14,0.0372,0.04943873415340408,0.04052,0.6441,0.3559,0.0,
ImageNet,21,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.3196931481361389,0.0377,0.04993873415340408,0.04134,0.38336,0.6166400000000001,0.0,
ImageNet,21,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.30238884687423706,0.0377,0.04993873415340408,0.038,0.38166,0.61834,0.0,
ImageNet,21,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.30596864223480225,0.0364,0.049981015157406196,0.03966,0.3792,0.6208,0.0,A
ImageNet,22,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0377,0.04993873415340408,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,22,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.25202059745788574,0.0377,0.04993873415340408,0.03322,0.3624,0.6376,0.0,
ImageNet,22,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2936409115791321,0.0377,0.04993873415340408,0.0372,0.37916,0.6208400000000001,0.0,
ImageNet,22,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.27692365646362305,0.0364,0.049981015157406196,0.03486,0.37368,0.62632,0.0,B
ImageNet,23,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0376,0.049838734153404084,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,23,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2921098470687866,0.0377,0.04993873415340408,0.03804,0.37482,0.6251800000000001,0.0,
ImageNet,23,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.31040650606155396,0.0377,0.04993873415340408,0.0391,0.3842,0.6158,0.0,
