dataset,trial,epsilon,alpha,n,model_error,num_policies,oracle_grid_budget_saved,oracle_grid_error,method,m,radius,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated
ImageNet,25,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0294,0.0497764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,25,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13407182693481445,0.0377,0.04993873415340408,0.03908,0.63838,0.36162000000000005,0.0
ImageNet,26,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0283,0.048676456967484794,0.02678,0.57718,0.42282,0.0
ImageNet,26,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12632256746292114,0.0377,0.04993873415340408,0.03732,0.63086,0.36914,0.0
ImageNet,27,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0284,0.048776456967484796,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,27,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1383122205734253,0.0377,0.04993873415340408,0.03996,0.64258,0.35741999999999996,0.0
ImageNet,28,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.1,0.029,0.0493764569674848,0.03152,0.6028,0.3972,0.0
ImageNet,28,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1363508105278015,0.0377,0.04993873415340408,0.03962,0.64028,0.35972000000000004,0.0
ImageNet,29,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0285,0.0488764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,29,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12044095993041992,0.0377,0.04993873415340408,0.0361,0.6247,0.37529999999999997,0.0
ImageNet,30,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0289,0.0492764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,30,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13203078508377075,0.0376,0.049838734153404084,0.03864,0.63626,0.36373999999999995,0.0
ImageNet,31,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.1,0.0292,0.0495764569674848,0.03152,0.6028,0.3972,0.0
ImageNet,31,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13666993379592896,0.0377,0.04993873415340408,0.03966,0.64052,0.35948,0.0
ImageNet,32,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0292,0.0495764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,32,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11902904510498047,0.0377,0.04993873415340408,0.03582,0.62332,0.37668,0.0
ImageNet,33,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0291,0.0494764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,33,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11616426706314087,0.0377,0.04993873415340408,0.03504,0.62054,0.37946,0.0
ImageNet,34,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0294,0.0497764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,34,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11802923679351807,0.0377,0.04993873415340408,0.03544,0.62226,0.37773999999999996,0.0
ImageNet,35,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0286,0.0489764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,35,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12306016683578491,0.0377,0.04993873415340408,0.03658,0.6271,0.3729,0.0
ImageNet,36,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.105,0.0286,0.0489764569674848,0.03278,0.60856,0.39144,0.0
ImageNet,36,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1491418480873108,0.0377,0.04993873415340408,0.04258,0.65266,0.34734,0.0
ImageNet,37,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0285,0.0488764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,37,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11675673723220825,0.0377,0.04993873415340408,0.03518,0.6211,0.3789,0.0
ImageNet,38,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.029,0.0493764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,38,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12101393938064575,0.0377,0.04993873415340408,0.03626,0.6253,0.37470000000000003,0.0
ImageNet,39,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0288,0.049176456967484794,0.02792,0.5836,0.4164,0.0
ImageNet,39,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12234556674957275,0.0377,0.04993873415340408,0.0365,0.62654,0.37346,0.0
ImageNet,40,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0287,0.0490764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,40,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11858963966369629,0.0377,0.04993873415340408,0.03566,0.62286,0.37714000000000003,0.0
ImageNet,41,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0293,0.049676456967484794,0.02792,0.5836,0.4164,0.0
ImageNet,41,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12624090909957886,0.0377,0.04993873415340408,0.03728,0.63076,0.36924,0.0
ImageNet,42,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0289,0.0492764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,42,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12471890449523926,0.0377,0.04993873415340408,0.03698,0.6291,0.3709,0.0
ImageNet,43,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0291,0.0494764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,43,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12711608409881592,0.0377,0.04993873415340408,0.03754,0.63188,0.36812,0.0
ImageNet,44,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0292,0.0495764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,44,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13416212797164917,0.0377,0.04993873415340408,0.03914,0.63856,0.36144,0.0
ImageNet,45,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0286,0.0489764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,45,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12297135591506958,0.0377,0.04993873415340408,0.03656,0.62704,0.37295999999999996,0.0
ImageNet,46,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0295,0.0498764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,46,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13420498371124268,0.0377,0.04993873415340408,0.03916,0.63858,0.36141999999999996,0.0
ImageNet,47,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0286,0.0489764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,47,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12957262992858887,0.0377,0.04993873415340408,0.03806,0.63406,0.36594000000000004,0.0
ImageNet,48,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0291,0.0494764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,48,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11744290590286255,0.0377,0.04993873415340408,0.03534,0.62164,0.37836000000000003,0.0
ImageNet,49,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.07,0.0288,0.049176456967484794,0.0246,0.56218,0.43782,0.0
ImageNet,49,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.10599690675735474,0.0377,0.04993873415340408,0.0331,0.60978,0.39022,0.0
ImageNet,50,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0288,0.049176456967484794,0.02678,0.57718,0.42282,0.0
ImageNet,50,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11572074890136719,0.0377,0.04993873415340408,0.0349,0.61988,0.38012,0.0
ImageNet,51,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0288,0.049176456967484794,0.02792,0.5836,0.4164,0.0
ImageNet,51,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1260938048362732,0.0377,0.04993873415340408,0.03722,0.6306,0.36939999999999995,0.0
ImageNet,52,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0294,0.0497764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,52,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13309210538864136,0.0377,0.04993873415340408,0.03882,0.6375,0.36250000000000004,0.0
ImageNet,53,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.075,0.0284,0.048776456967484796,0.02572,0.56976,0.43023999999999996,0.0
