dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNetV2,96,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.125,0.0525,0.09806314291989524,0.0518,0.4877,0.5123,0.0,
ImageNetV2,96,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.36450000000000005,0.072,0.09936664152555987,0.0701,0.342,0.6579999999999999,0.0,
ImageNetV2,96,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.3944,0.0725,0.09986664152555987,0.0703,0.3581,0.6419,0.0,
ImageNetV2,96,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.38480000000000003,0.0695,0.09986807309541526,0.0674,0.3533,0.6467,0.0,B
ImageNetV2,97,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.16,0.0525,0.09806314291989524,0.0634,0.523,0.477,0.0,
ImageNetV2,97,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.39590000000000003,0.072,0.09936664152555987,0.0764,0.3535,0.6465000000000001,0.0,
ImageNetV2,97,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4303,0.0725,0.09986664152555987,0.0774,0.3711,0.6289,0.0,
ImageNetV2,97,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4232,0.0695,0.09986807309541526,0.0761,0.3686,0.6314,0.0,B
ImageNetV2,98,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.0525,0.09806314291989524,0.0535,0.4936,0.5064,0.0,
ImageNetV2,98,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.36319999999999997,0.0725,0.09986664152555987,0.0697,0.341,0.659,0.0,
ImageNetV2,98,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4343,0.0725,0.09986664152555987,0.0784,0.3726,0.6274,0.0,
